"year","last_name, first_name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2019","Gurriel, Yuli","493329","117","597","2049",26.330575290088973,8.291808195843702,1.515432497260939,8.505624391213747,8.0177102057705
"2019","Davis, J.D.","605204","121","446","1787",12.572190871372634,0.3421850730561969,-11.660234757099623,16.78733827303581,7.102902282380256
"2019","Gardner, Brett","458731","147","549","2378",5.162927375110932,-8.268354166755291,-16.31931353972819,17.433957608691983,12.316637472902427
"2019","Chapman, Matt","656305","133","658","2755",26.689844071807613,-3.4232246555594985,-11.134510252748475,27.145742066861935,14.101836913253575
"2019","Segura, Jean","516416","143","617","2232",-0.2812880225784479,-3.297678432302949,-10.037462044673553,5.163069789183197,7.890782665214844
"2019","Meadows, Austin","640457","139","585","2497",24.123783173315786,2.6110211812274917,-6.6824850806859475,18.460658871701803,9.734588201072434
"2019","Adames, Willy","642715","139","583","2337",-11.24091292349833,-1.9491905577957205,-34.89539386047897,17.4174270003513,8.186244494425093
"2019","Martin, Richie","621006","110","309","1229",-28.321899195754632,-7.495631711861556,-27.46510761965331,1.686687333018394,4.952152802741809
"2019","Vázquez, Christian","543877","111","518","2010",5.758710103282396,-2.0954906716686597,-12.146516382591866,13.60160875905332,6.399108398489583
"2019","Barnhart, Tucker","571466","113","343","1371",-6.154818203255088,-7.0596011151418105,-14.476591822131928,8.1206438836286,7.260730850390038
"2019","Alonso, Yonder","475174","115","331","1366",-11.09938968557867,-8.93301305038176,-13.698677242833309,5.3891457276094386,6.143154880026993
"2019","McMahon, Ryan","641857","115","537","2248",-1.5044154448478833,12.402673006890257,-31.256221979056026,9.114217653645115,8.234915873672817
"2019","Jiménez, Eloy","650391","145","504","1863",11.806259866976315,1.6328241581289897,-8.85674253878962,9.191852249962356,9.838325997674584
"2019","Soler, Jorge","624585","118","676","2749",36.50505697203188,13.687025936550752,-19.428068391398476,25.95420252704475,16.291896899834867
"2019","Lopez, Nicky","670032","118","400","1512",-24.504146963994362,-20.62965382313805,-15.826338355412048,7.142176519541915,4.809668695013817
"2019","Pollock, AJ","572041","119","341","1249",1.5374531530779005,-2.423719769972584,-8.067082191808035,5.1123798492469295,6.915875265611591
"2019","Rojas, Miguel","500743","146","524","1866",-11.845783762995737,-13.614397508205963,-14.913860019455097,9.238824336974265,7.443649427691062
"2019","Gonzalez, Marwin","503556","142","460","1780",-0.45449674562196374,-2.3282744047332598,-16.33399828016955,9.815366733429228,8.392409205851605
